Description,Z Coordinate,Name,latitude,longitude
http://www.angelfire.com/oh/ohiosasquatch/1995.html,0.0,1995-03-04 ~3mi,40.571995,-81.077976
http://www.angelfire.com/oh/ohiosasquatch/1995.html,0.0,1995-10-1? ~3mi,39.744158,-81.509806
http://www.angelfire.com/oh/ohiosasquatch/1995.html,0.0,1995-11-22 ~3mi,40.261631,-81.59043
http://www.angelfire.com/oh/ohiosasquatch/1995.html,0.0,1995-07-1? ~3mi,40.254765,-82.049137
http://www.angelfire.com/oh/ohiosasquatch/1995.html,0.0,1995-12-09,40.231934,-81.493685
http://www.angelfire.com/oh/ohiosasquatch/1995.html,0.0,1995-01-28 ~3mi,40.2176,-81.727099
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-07-17 ~3mi,40.63448,-81.455456
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-05-16 ~5mi,39.563656,-82.539288
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-09-21 ~3mi,39.133816,-82.507921
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-08-?? ~20mi,41.308336,-80.839882
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-09-14 ~3mi,40.275879,-80.988104
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-08-?? ~3mi,39.115705,-82.515776
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-05-18 ~5mi,39.574299,-82.545524
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-12-08 ~3mi,41.590805,-80.864462
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-05-29 ~20mi,40.279484,-81.850574
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-08-27 ~3mi,41.382923,-81.432766
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-10-06 ~3mi,39.147967,-82.172097
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-09-02 ~3mi,38.543816,-82.677221
